Year,Month,Consumption
2002,January,1324.9
2002,February,1228.9
2002,March,1406.9
2002,April,1374.2
2002,May,1433.1
2002,June,1456.9
2002,July,1524
2002,August,1527
2002,September,1376
2002,October,1458.9
2002,November,1356.5
2002,December,1391.4
2003,January,1405.4
2003,February,1258.8
2003,March,1435.2
2003,April,1334.3
2003,May,1397
2003,June,1402.6
2003,July,1496.3
2003,August,1504.7
2003,September,1383.1
2003,October,1438.5
2003,November,1367.8
2003,December,1444.3
2004,January,1436.5
2004,February,1379.5
2004,March,1514
2004,April,1475.4
2004,May,1522.8
2004,June,1549.3
2004,July,1613.7
2004,August,1617.8
2004,September,1460.5
2004,October,1549.8
2004,November,1475
2004,December,1550.3
2005,January,1489.9
2005,February,1385.3
2005,March,1587
2005,April,1509.1
2005,May,1549.7
2005,June,1589.9
2005,July,1654.6
2005,August,1642.2
2005,September,1476.2
2005,October,1479.1
2005,November,1448.4
2005,December,1513.1
2006,January,1459.2
2006,February,1339.3
2006,March,1558.4
2006,April,1497
2006,May,1533
2006,June,1555.3
2006,July,1614.8
2006,August,1634.9
2006,September,1493.3
2006,October,1535.4
2006,November,1485.4
2006,December,1533.7
2007,January,1493.7
2007,February,1352.6
2007,March,1563.9
2007,April,1512.5
2007,May,1558.5
2007,June,1582.9
2007,July,1642.4
2007,August,1653.3
2007,September,1493.4
2007,October,1549.4
2007,November,1482.5
2007,December,1541.6
2008,January,1522.7
2008,February,1444.1
2008,March,1579.6
2008,April,1525
2008,May,1569.4
2008,June,1581.2
2008,July,1643.8
2008,August,1603.9
2008,September,1374.1
2008,October,1412.3
2008,November,1320.2
2008,December,1402.2
2009,January,1338.9
2009,February,1219.2
2009,March,1382.8
2009,April,1353
2009,May,1377.4
2009,June,1443.1
2009,July,1521
2009,August,1428.1
2009,September,1281.1
2009,October,1324.8
2009,November,1229.9
2009,December,1334.8
2010,January,1282.7
2010,February,1148.4
2010,March,1351.9
2010,April,1311.3
2010,May,1393.6
2010,June,1427.7
2010,July,1506.7
2010,August,1478.6
2010,September,1354.7
2010,October,1371.3
2010,November,1303.6
2010,December,1372.6
2011,January,1309.8
2011,February,1189.3
2011,March,1410.5
2011,April,1370.4
2011,May,1398
2011,June,1448.6
2011,July,1507.2
2011,August,1461
2011,September,1319.8
2011,October,1338.8
2011,November,1269.7
2011,December,1326.2
2012,January,1252.7
2012,February,1207.9
2012,March,1364.9
2012,April,1301.5
2012,May,1372.3
2012,June,1403.9
2012,July,1442.2
2012,August,1421
2012,September,1278.4
2012,October,1287
2012,November,1229.1
2012,December,1298.4
2013,January,1260.1
2013,February,1141.1
2013,March,1339.9
2013,April,1305.4
2013,May,1360.9
2013,June,1398.5
2013,July,1465.3
2013,August,1442.9
2013,September,1270.7
2013,October,1326
2013,November,1252.7
2013,December,1341.3
2014,January,1264.1
2014,February,1144.5
2014,March,1398.1
2014,April,1325.6
2014,May,1383.5
2014,June,1430.8
2014,July,1498.2
2014,August,1459.3
2014,September,1312.2
2014,October,1356.4
2014,November,1274.5
2014,December,1373.6
2015,January,1300.9
2015,February,1174.8
2015,March,1399.1
2015,April,1374.4
2015,May,1432.5
2015,June,1477.8
2015,July,1555.1
2015,August,1514.2
2015,September,1359.4
2015,October,1393.4
2015,November,1318.6
2015,December,1429.4
2016,January,1321.1
2016,February,1244
2016,March,1427.1
2016,April,1386.7
2016,May,1461.3
2016,June,1522.3
2016,July,1587
2016,August,1553
2016,September,1388.3
2016,October,1402.2
2016,November,1318.3
2016,December,1433.2
2017,January,1343.3
2017,February,1208
2017,March,1446.1
2017,April,1408
2017,May,1487.1
2017,June,1553.6
2017,July,1611.1
2017,August,1589.3
2017,September,1373.6
2017,October,1448.9
2017,November,1370.5
2017,December,1455.8
2018,January,1379.3
2018,February,1267.4
2018,March,1483
2018,April,1455.1
2018,May,1543.1
2018,June,1587.2
2018,July,1654.2
2018,August,1630.6
2018,September,1453.1
2018,October,1505.2
2018,November,1421.2
2018,December,1489.2
2019,January,1423.5
2019,February,1290.6
2019,March,1526.2
2019,April,1486.1
2019,May,1583.6
2019,June,1615.3
2019,July,1675.8
2019,August,1653.3
2019,September,1476.6
2019,October,1541.8
2019,November,1444.2
2019,December,1552.1
2020,January,1460.9
2020,February,1329
2020,March,1168.4
2020,April,446.9
2020,May,453.4
2020,June,558
2020,July,763.1
2020,August,801.6
2020,September,727.9
2020,October,807.4
2020,November,844.6
2020,December,918.4
